""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"McHD25-1"	2818	2341	2228	2174	2174
"McHD25-21"	1315	1067	1040	1003	1003
"McHD25-28"	10016	9125	9027	8928	8928
"McHD25-3"	2110	1776	1737	1710	1710
"McHD25-7"	2408	2166	2108	2070	2070
"McHD26-1"	28540	24564	24408	23787	23787
"McHD26-3"	6532	5685	5640	5594	5594
"McHD26-Pre"	1701	1268	1168	1160	1160
"McHD27-1"	13910	12595	12482	12406	12406
"McHD27-21"	9261	7721	7385	7187	7187
"McHD27-28"	1525	1237	1196	1153	1153
"McHD27-7"	7091	6365	6236	6205	6205
"McHD28-1"	516	465	461	449	449
"McHD28-21"	12263	10111	9863	9784	9784
"McHD28-28"	8423	7473	7442	7308	7308
"McHD28-3"	1923	1491	1394	1363	1363
"McHD28-7"	116708	109748	109533	109119	109119
"McHD28-Pre"	1693	1309	1285	1283	1283
